NAME                         INSTALLED              FIXED-IN                  TYPE          VULNERABILITY        SEVERITY 
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14933       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9745        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14930       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15938       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8395        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7224        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18606       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-9074        Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14129       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15996       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-12934       Low       
binutils                     2.27-34.base.el7       0:2.27-41.base.el7        rpm           CVE-2018-12697       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12453       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12454       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14974       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-17360       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15021       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17123       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-12700       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14932       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7226        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-6759        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-6969        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9043        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-6966        Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15939       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7302        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-6323        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16826       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7304        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14729       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17125       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15023       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8394        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9038        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9039        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2020-16598       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7225        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2020-35495       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9040        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9044        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18484       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18483       Low       
binutils                     2.27-34.base.el7                                 rpm           CVE-2019-17450       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16832       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7300        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12455       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4492        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-6872        Low       
binutils                     2.27-34.base.el7       0:2.27-44.base.el7_9.1    rpm           CVE-2021-42574       Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7227        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14939       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-13710       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12458       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17122       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-20657       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2020-35493       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8393        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9742        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16828       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8397        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9751        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15025       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17080       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9755        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-19932       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15022       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-20002       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7301        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7223        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2015-8538        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7614        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14130       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-9077        Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4493        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-20673       Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14940       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-12698       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15024       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18605       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-6965        Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2021-20197       Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12451       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14529       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4489        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16830       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9955        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9743        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17124       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7299        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9041        Low       
binutils                     2.27-34.base.el7       0:2.27-41.base.el7        rpm           CVE-2018-1000876     Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-17451       Low       
binutils                     2.27-34.base.el7                                 rpm           CVE-2014-9939        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12799       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12456       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16829       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-17794       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17126       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8421        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7303        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-14938       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18700       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-12972       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-1010204     Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9752        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-17121       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9754        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15225       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7210        Low       
binutils                     2.27-34.base.el7       0:2.27-41.base.el7        rpm           CVE-2018-12641       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9746        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8398        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9744        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2020-35494       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-16831       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2021-45078       Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18607       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8396        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2016-4491        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12457       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-18701       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2021-3826        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-12449       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-14250       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-15020       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9954        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9747        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9750        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9756        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2020-35507       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2019-9075        Medium    
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2020-35496       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-8392        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-12699       Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-7209        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2017-9753        Low       
binutils                     2.27-34.base.el7       (won't fix)               rpm           CVE-2018-17985       Low       
bison                        3.0.4-2.el7            (won't fix)               rpm           CVE-2020-24979       Medium    
bison                        3.0.4-2.el7            (won't fix)               rpm           CVE-2020-14150       Medium    
bzip2-libs                   1.0.6-13.el7           (won't fix)               rpm           CVE-2016-3189        Low       
bzip2-libs                   1.0.6-13.el7           (won't fix)               rpm           CVE-2019-12900       Low       
coreutils                    8.22-23.el7                                      rpm           CVE-2015-4041        Low       
coreutils                    8.22-23.el7            (won't fix)               rpm           CVE-2014-9471        Low       
coreutils                    8.22-23.el7                                      rpm           CVE-2015-4042        Low       
coreutils                    8.22-23.el7            (won't fix)               rpm           CVE-2016-2781        Medium    
coreutils                    8.22-23.el7            (won't fix)               rpm           CVE-2017-18018       Medium    
cpio                         2.11-27.el7            0:2.11-28.el7             rpm           CVE-2019-14866       Medium    
cpio                         2.11-27.el7            (won't fix)               rpm           CVE-2016-2037        Low       
cpio                         2.11-27.el7            (won't fix)               rpm           CVE-2015-1197        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2022-27943       Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2020-16845       Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2018-20657       Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2021-42694       Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4493        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4489        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-2226        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2019-14250       Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4492        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4490        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4488        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4487        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2019-16276       Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2018-20673       Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2014-5044        Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2021-42574       Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2015-5276        Low       
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2020-24553       Medium    
cpp                          4.8.5-36.el7_6.1       (won't fix)               rpm           CVE-2016-4491        Low       
cracklib                     2.9.0-11.el7           (won't fix)               rpm           CVE-2016-6318        Low       
cracklib-dicts               2.9.0-11.el7           (won't fix)               rpm           CVE-2016-6318        Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2015-3153        Medium    
curl                         7.29.0-51.el7          0:7.29.0-54.el7           rpm           CVE-2018-16842       Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2021-22925       Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2017-1000254     Medium    
curl                         7.29.0-51.el7          0:7.29.0-57.el7           rpm           CVE-2019-5436        Low       
curl                         7.29.0-51.el7                                    rpm           CVE-2021-22946       Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2022-43552       Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2017-8817        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2017-7407        Low       
curl                         7.29.0-51.el7          0:7.29.0-51.el7_6.3       rpm           CVE-2018-14618       Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2022-35252       Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8622        Low       
curl                         7.29.0-51.el7          0:7.29.0-59.el7           rpm           CVE-2019-5482        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8619        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2018-20483       Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8623        Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8615        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-9586        Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8616        Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-0755        Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8618        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8617        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2017-1000100     Low       
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8624        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2020-8231        Low       
curl                         7.29.0-51.el7          0:7.29.0-59.el7_9.1       rpm           CVE-2020-8177        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8625        Medium    
curl                         7.29.0-51.el7          (won't fix)               rpm           CVE-2016-8621        Low       
cyrus-sasl-lib               2.1.26-23.el7          (won't fix)               rpm           CVE-2019-19906       Medium    
cyrus-sasl-lib               2.1.26-23.el7          0:2.1.26-24.el7_9         rpm           CVE-2022-24407       High      
dbus                         1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2014-3532        Medium    
dbus                         1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2015-0245        Low       
dbus                         1:1.10.24-13.el7_6                               rpm           CVE-2014-3637        Low       
dbus                         1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2014-3477        Medium    
dbus                         1:1.10.24-13.el7_6     1:1.10.24-15.el7          rpm           CVE-2019-12749       High      
dbus                         1:1.10.24-13.el7_6                               rpm           CVE-2014-3639        Low       
dbus                         1:1.10.24-13.el7_6                               rpm           CVE-2014-3638        Low       
dbus                         1:1.10.24-13.el7_6     1:1.10.24-14.el7_8        rpm           CVE-2020-12049       High      
dbus                         1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2014-3533        Medium    
dbus                         1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2020-35512       Low       
dbus-libs                    1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2014-3532        Medium    
dbus-libs                    1:1.10.24-13.el7_6                               rpm           CVE-2014-3638        Low       
dbus-libs                    1:1.10.24-13.el7_6     1:1.10.24-15.el7          rpm           CVE-2019-12749       High      
dbus-libs                    1:1.10.24-13.el7_6     1:1.10.24-14.el7_8        rpm           CVE-2020-12049       High      
dbus-libs                    1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2014-3477        Medium    
dbus-libs                    1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2020-35512       Low       
dbus-libs                    1:1.10.24-13.el7_6                               rpm           CVE-2014-3639        Low       
dbus-libs                    1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2015-0245        Low       
dbus-libs                    1:1.10.24-13.el7_6     (won't fix)               rpm           CVE-2014-3533        Medium    
dbus-libs                    1:1.10.24-13.el7_6                               rpm           CVE-2014-3637        Low       
device-mapper                7:1.02.149-10.el7_6.3  (won't fix)               rpm           CVE-2020-8991        Low       
device-mapper-libs           7:1.02.149-10.el7_6.3  (won't fix)               rpm           CVE-2020-8991        Low       
dracut                       033-554.el7            (won't fix)               rpm           CVE-2016-4484        Medium    
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7612        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7150        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7149        Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7613        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18310       Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7611        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18521       Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2016-10254       Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7608        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16403       Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7664        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16062       Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7607        Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2016-10255       Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16402       Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18520       Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7609        Low       
elfutils-default-yama-scope  0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7665        Low       
elfutils-default-yama-scope  0.172-2.el7            (won't fix)               rpm           CVE-2017-7610        Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2016-10255       Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7612        Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7608        Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18521       Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7610        Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7613        Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16402       Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2016-10254       Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16403       Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7149        Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7611        Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7150        Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7664        Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16062       Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7665        Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7607        Low       
elfutils-libelf              0.172-2.el7            (won't fix)               rpm           CVE-2017-7609        Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18520       Low       
elfutils-libelf              0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18310       Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7150        Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16403       Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2017-7609        Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18520       Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2016-10255       Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-18521       Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2017-7610        Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7665        Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2018-16062       Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2017-7612        Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2017-7608        Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2016-10254       Low       
elfutils-libs                0.172-2.el7            0:0.176-2.el7             rpm           CVE-2019-7149        Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2017-7611        Low       
elfutils-libs                0.172-2.el7            (won't fix)               rpm           CVE-2017-7607        Low       
